cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	csf	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	white_matter
-0.06236957449999999	0.04330166280000001	-0.0157177412	-0.014957342101913873	0.0426908092	-0.0620284011	0.0691670507	-0.06270282109808613	-2.9830532745256733	0.0077303143394736925	0.00023262870813397035	-1.575052835486268e-07	0.00014483158919131466	-0.002391825307416269	6.698734449760715e-05	-4.2269817969508934e-08	8.745328031437471e-06	0.00454996611722489	-3.1680622009564116e-05	-4.7890757618526275e-08	7.830041199161744e-05	0.02068575355425839	0.002124682775119519	-1.8191328429777795e-05	0.003276753633691804	0.1550653571052631	0.030511248803827745	0.00040398925845463627	0.08523498676165976	-0.011053389841090902	0.04393143660287081	0.0011923730828099384	-0.010468389721234438	-4.270909579337399
-0.0625926223	0.04410756019999991	-0.0172324501	-0.012920580701913873	0.0406158857	-0.0605853216	0.0690303441	-0.06434455849808612	-3.2734599614448143	0.006979214339473691	-0.0008049712918660296	3.245636764513716e-07	0.00012136414568131467	-0.002444555307416269	-3.84726555023928e-05	-4.2269817969508934e-08	9.146224202737471e-06	0.00454996611722489	-3.1680622009564116e-05	-4.7890757618526275e-08	7.830041199161744e-05	0.02122775355425839	0.0004066827751196188	-2.3005164429777707e-05	0.0033951025856919035	0.14088135710526312	-0.015127751196172151	-0.0003842419105454637	0.07384920628165977	-0.0404682898410909	-0.02923496339712909	0.0001434156725698385	-0.014972031522984338	-3.8150512720179677
-0.0628121345	0.04490349179999991	-0.0187383987	-0.010872142801913873	0.0384836123	-0.0590190612	0.0687026155	-0.06575375039808613	-4.258375626662541	0.00757471433947369	0.0005416287081338704	1.1503271645136856e-07	0.00013987734743131468	-0.0020416653074162685	0.0004171473444975072	1.1727008123049103e-07	6.224204044237471e-06	0.00454996611722489	-3.1680622009564116e-05	-4.7890757618526275e-08	7.830041199161744e-05	0.018272753554258392	-0.003090317224880281	-1.4566903429777727e-05	0.0027569910206919034	0.1367053571052631	-0.005119751196172252	-0.0005679887905453635	0.07057371892165985	-0.013377189841091	0.02727103660287071	1.2107029769838529e-05	-0.010887135227914438	-4.373264363046246
-0.0630280986	0.045689277800000004	-0.0202348214	-0.008813879401913874	0.036297	-0.0573328043	0.0681847719	-0.06692530369808612	-3.163812392242562	0.007424814339473692	-0.00020377129186592967	-2.1711752354863056e-07	0.00013515038584121467	-0.002038375307416269	1.754734449760715e-05	-4.503944676950893e-08	6.2016791579374714e-06	0.00436576611722489	-0.00021588062200946412	-1.3961117618526661e-08	7.371998427171742e-05	0.018790753554258383	0.0003826827751195189	-2.303060442977773e-05	0.002867587128691904	0.17278435710526313	0.03513524880382775	0.0007162664744546364	0.10002367169865976	-0.0550556898410909	-0.04149856339712909	0.0010152766928098384	-0.01656359271746434	-4.073716445769833
-0.0632405025	0.046464740600000005	-0.0217209575999999	-0.006747650801913772	0.0340591361	-0.0555299795	0.0674782463	-0.06785498439808613	-2.9367718005483994	0.008349314339473593	0.0008706287081338704	6.151127164513606e-07	0.00016501977899121466	-0.002347815307416269	-0.0002951826555023928	5.0702842730491196e-08	8.414985890737471e-06	0.00429996611722489	-9.748062200956539e-05	-4.3561117618526106e-08	7.210021199161743e-05	0.01936775355425839	0.00044168277511961887	-2.2965999429777715e-05	0.002991411905691804	0.1367693571052631	-0.03695875119617225	0.0007116524584546362	0.07062365479365985	-0.015746389841091002	0.039489236602870716	0.0008234003970498385	-0.011302943095434437	-4.206229417940335
-0.0634493341	0.047229705000000004	-0.0231960516999999	-0.004675324101913772	0.0317731806	-0.0536142521	0.0665849939	-0.06853943249808613	-3.042594454545906	0.0075057143394735935	-0.0008974712918659297	4.720734264513699e-07	0.0001376959124312147	-0.002347815307416269	1.4257344497607176e-05	-4.505027086950893e-08	8.414985890737471e-06	0.00422636611722489	-0.00010528062200956417	-4.247379761852627e-08	7.029869007161743e-05	0.020041753554258385	0.0005386827751196188	-2.284465242977771e-05	0.003136896153691905	0.1672933571052631	0.029580248803827747	0.0003462868094545363	0.09537361285765976	-0.0439311898410909	-0.028004863397129088	7.256228159983847e-05	-0.015388374951114338	-4.672590392976645
-0.0636545817	0.047983998099999904	-0.0246593539	-0.002598772301913873	0.0294423610999999	-0.0515895172	0.0655074863	-0.06897617459808612	-4.557452121378901	0.008507414339473692	0.0009478287081339703	7.638153564513794e-07	0.00017029894352121465	-0.002347815307416269	1.4257344497607176e-05	-4.505027086950893e-08	8.414985890737471e-06	0.00454996611722489	0.0002919193779904359	5.682620238147391e-08	7.830041199161744e-05	0.015806753554258382	-0.004370317224880381	-5.363703429777581e-06	0.0022378437686919033	0.1437863571052631	-0.024450751196172252	-3.2848717545363657e-05	0.07614834238665986	-0.0184184898410909	0.02569263660287071	-7.092280815016155e-05	-0.011758440751464337	-4.5631167235793555
-0.0638562337	0.048727449699999904	-0.0261101202	-0.0005198719019138728	0.027069969	-0.0494598916	0.0642487054	-0.06916363199808613	-4.753702145674993	0.008902214339473693	0.00034092870813397035	-8.372049354862941e-08	0.00018370011368131465	-0.002347815307416269	1.4257344497607176e-05	-4.505027086950893e-08	8.414985890737471e-06	0.00454996611722489	-3.1680622009564116e-05	-4.7890757618526275e-08	7.830041199161744e-05	0.022384753554258383	0.006442682775119619	1.9971155570222292e-05	0.003649706220691905	0.1735303571052631	0.028800248803827647	0.00029927776945453636	0.10066007534665976	-0.0545295898410909	-0.035931163397129186	0.0005821908737699386	-0.01651359012167434	-4.480343498166576
-0.0640542787	0.04945989160000001	-0.0275476131999999	0.0015594982980861273	0.0246593539	-0.047229705	0.0628121345	-0.06910112729808612	-3.4424255906136523	0.009196914339473691	0.00024082870813387031	-1.5273944354863088e-07	0.00019390666507131468	-0.0026311453074162683	-0.00026907265550229283	3.522561803049084e-08	1.0609487239437471e-05	0.00454996611722489	-3.1680622009564116e-05	-4.7890757618526275e-08	7.830041199161744e-05	0.01690075355425838	-0.0056193172248802815	6.7753275702221564e-06	0.002466653868691904	0.1502183571052631	-0.02425575119617225	-4.19784225454637e-05	0.08129894648265985	-0.033913789841090905	0.02079573660287081	-0.0002968094598001615	-0.014118326906034338	-4.5291402237030525
-0.0642487054	0.05018115830000001	-0.0289711021	0.003637459198086027	0.0222139197	-0.0449034917999999	0.0612017487	-0.06878888649808612	-4.730210791459285	0.009018514339473692	-0.00023227129186592969	-2.0776097354863042e-07	0.00018770726507131468	-0.0023585453074162687	0.0002868573444976072	2.9260489130491082e-08	8.495168927437472e-06	0.00454996611722489	-3.1680622009564116e-05	-4.7890757618526275e-08	7.830041199161744e-05	0.028632753554258386	0.011596682775119618	0.00011434089557022226	0.005070876300691904	0.1823083571052631	0.03114624880382775	0.0004443403334546363	0.10823208348265985	-0.0620695898410909	-0.02797586339712909	7.092840419993844e-05	-0.01717733632167444	-4.503937519305055
