trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
-1.305140000000000044e-04	2.447819999999999857e-02	2.036200000000000163e-02	-4.716210000000000031e-05	2.291660000000000010e-05	-5.833879999999999784e-05
-8.072360000000000212e-04	1.095140000000000089e-03	6.206330000000000353e-03	1.243329999999999902e-04	2.291660000000000010e-05	-5.833879999999999784e-05
1.385089999999999932e-02	-7.107679999999999554e-02	1.753849999999999854e-02	6.134569999999999780e-04	2.066869999999999949e-04	-5.833869999999999762e-05
-1.585009999999999978e-03	2.697060000000000082e-02	1.751909999999999926e-02	1.027699999999999935e-04	2.291660000000000010e-05	6.739680000000000327e-06
1.383580000000000053e-02	-2.261379999999999987e-02	2.730809999999999835e-02	1.056159999999999998e-04	4.336550000000000214e-04	-5.833879999999999784e-05
1.178650000000000010e-02	2.345370000000000094e-02	4.633369999999999850e-02	-6.395590000000000476e-04	1.359590000000000039e-04	-5.833879999999999784e-05
1.383580000000000053e-02	-4.823220000000000285e-02	2.251389999999999988e-02	2.207250000000000119e-04	4.336550000000000214e-04	-5.833879999999999784e-05
-3.243129999999999884e-03	2.262410000000000115e-02	3.257879999999999804e-02	-6.713249999999999600e-04	1.815699999999999912e-05	-5.833879999999999784e-05
2.560820000000000110e-03	-2.756170000000000148e-02	7.207100000000000138e-03	-2.668759999999999839e-04	2.614089999999999903e-04	-5.833879999999999784e-05
-1.295390000000000083e-02	1.954559999999999978e-02	2.691199999999999842e-02	-7.454070000000000140e-04	1.815699999999999912e-05	-5.833879999999999784e-05
-6.965189999999999576e-03	-3.923800000000000204e-02	3.460910000000000201e-03	-7.114140000000000466e-07	1.815699999999999912e-05	-5.833879999999999784e-05
-1.324819999999999991e-02	3.032210000000000114e-02	2.691669999999999827e-02	-6.435609999999999595e-04	-7.554439999999999452e-05	-5.833879999999999784e-05
-3.117140000000000015e-03	-2.510990000000000097e-02	2.908019999999999876e-03	-4.080630000000000265e-05	1.815699999999999912e-05	-5.833879999999999784e-05
-1.260209999999999976e-02	2.638549999999999923e-02	2.391750000000000126e-02	-3.965239999999999867e-04	-1.794940000000000131e-04	-5.833879999999999784e-05
-5.896290000000000212e-03	-3.601109999999999728e-02	1.094720000000000068e-02	2.512519999999999858e-04	1.815699999999999912e-05	-2.433199999999999946e-04
-5.899729999999999731e-03	3.678830000000000294e-02	2.390250000000000014e-02	-3.415900000000000143e-04	1.815699999999999912e-05	-1.960470000000000019e-04
-5.895390000000000352e-03	-2.065240000000000131e-02	-4.143159999999999898e-03	7.502729999999999739e-06	1.815699999999999912e-05	-2.834819999999999940e-04
-5.894690000000000173e-03	3.078080000000000052e-02	1.836139999999999994e-02	-6.435609999999999595e-04	-4.588139999999999748e-05	-4.738189999999999980e-04
-5.893309999999999695e-03	-2.514889999999999834e-02	2.663200000000000116e-03	-2.758889999999999737e-04	1.601960000000000092e-04	-4.738189999999999980e-04
-5.893999999999999934e-03	3.036310000000000051e-02	1.835820000000000160e-02	-6.435609999999999595e-04	2.789000000000000029e-04	-4.738189999999999980e-04
-5.895219999999999627e-03	2.243969999999999992e-02	1.836039999999999894e-02	-6.435609999999999595e-04	1.815699999999999912e-05	-4.738189999999999980e-04
-1.237889999999999954e-03	5.209820000000000423e-03	1.836039999999999894e-02	-6.435609999999999595e-04	1.815699999999999912e-05	-4.738189999999999980e-04
-5.893019999999999682e-03	2.652979999999999922e-02	9.226810000000000220e-03	-6.435609999999999595e-04	1.616020000000000022e-04	-4.738189999999999980e-04
1.243539999999999956e-04	-2.195870000000000113e-02	-3.246939999999999809e-03	1.685649999999999963e-04	4.180710000000000025e-04	-4.738189999999999980e-04
-5.899510000000000171e-03	4.286399999999999932e-02	2.214110000000000036e-02	-7.006230000000000444e-04	1.290739999999999910e-04	-4.738189999999999980e-04
-5.904650000000000003e-03	-5.443929999999999603e-03	1.165670000000000074e-02	-5.555809999999999785e-04	3.503059999999999898e-04	-5.669559999999999704e-04
-5.906589999999999757e-03	1.069559999999999955e-02	1.448589999999999947e-02	-1.263330000000000117e-04	3.455479999999999923e-04	-7.729399999999999552e-04
-5.903689999999999632e-03	5.886249999999999816e-02	2.349069999999999978e-02	-8.981800000000000504e-04	9.283109999999999962e-05	-6.440940000000000033e-04
-5.950060000000000071e-03	-1.135000000000000071e-02	2.810640000000000100e-03	-2.517810000000000208e-04	4.954280000000000142e-04	-6.409010000000000358e-04
-5.962270000000000417e-03	2.902150000000000042e-03	2.797369999999999978e-03	4.410220000000000272e-06	4.954280000000000142e-04	-9.139849999999999711e-04
-2.263849999999999890e-02	8.526799999999999657e-02	3.850719999999999837e-02	-8.569540000000000490e-04	7.481920000000000356e-05	-9.139849999999999711e-04
-1.733470000000000150e-02	7.706509999999999749e-03	1.363709999999999922e-02	-2.783500000000000167e-04	8.656450000000000104e-05	-6.270699999999999712e-04
-2.063339999999999966e-02	1.027759999999999958e-02	2.217529999999999848e-02	1.810969999999999908e-04	4.954280000000000142e-04	-9.139849999999999711e-04
-3.263470000000000260e-02	5.586050000000000043e-02	3.074949999999999906e-02	-5.059230000000000281e-04	3.993329999999999932e-05	-9.139849999999999711e-04
-2.267900000000000124e-02	9.442070000000000324e-03	5.025769999999999717e-03	-7.996509999999999439e-06	2.678560000000000186e-04	-9.139859999999999868e-04
-2.844529999999999975e-02	4.608999999999999903e-02	2.219830000000000067e-02	-4.834169999999999830e-04	1.938449999999999982e-04	-1.065350000000000064e-03
-2.211010000000000059e-02	-6.762839999999999780e-04	-7.765529999999999655e-03	-2.732279999999999800e-04	7.307939999999999694e-05	-9.139859999999999868e-04
-2.331449999999999842e-02	1.563410000000000147e-02	4.726919999999999907e-03	-1.621499999999999976e-05	1.414180000000000070e-05	-9.139859999999999868e-04
-2.278760000000000160e-02	4.728469999999999895e-02	-7.752789999999999855e-03	-7.260619999999999748e-04	1.414180000000000070e-05	-9.139859999999999868e-04
-2.008319999999999897e-02	-1.883929999999999980e-02	-1.055739999999999977e-02	1.299370000000000063e-05	1.414180000000000070e-05	-9.139859999999999868e-04
-2.024679999999999883e-02	2.184519999999999865e-02	-7.775790000000000306e-03	-2.072569999999999979e-04	1.414180000000000070e-05	-1.156630000000000071e-03
-3.177080000000000182e-02	7.070400000000000296e-02	7.699410000000000281e-03	-1.020730000000000075e-03	1.414180000000000070e-05	-1.219540000000000077e-03
-1.908199999999999827e-02	-1.214540000000000064e-02	-7.782520000000000236e-03	-1.894809999999999905e-05	2.347249999999999998e-04	-1.173470000000000025e-03
-2.297360000000000027e-02	2.617130000000000151e-02	-7.779099999999999730e-03	7.089799999999999781e-05	1.414180000000000070e-05	-1.054089999999999932e-03
-3.845649999999999763e-02	7.957540000000000446e-02	1.223950000000000038e-02	-1.073490000000000078e-03	-1.561479999999999964e-04	-1.177309999999999988e-03
-1.043159999999999921e-02	1.727309999999999957e-02	-2.284699999999999925e-02	-6.910279999999999982e-04	5.885219999999999601e-04	-1.189450000000000099e-03
-7.415090000000000049e-03	4.961930000000000247e-04	-2.880730000000000183e-03	-2.075570000000000052e-04	8.319580000000000464e-04	-1.318299999999999897e-03
-1.910929999999999920e-02	9.498470000000000524e-02	-7.743930000000000431e-03	-1.522099999999999972e-03	7.227320000000000185e-04	-1.359549999999999951e-03
-1.239379999999999996e-02	9.059819999999999679e-03	-3.257240000000000135e-02	-7.308500000000000109e-04	8.567680000000000478e-04	-1.544280000000000088e-03
-5.298680000000000057e-03	2.488349999999999850e-03	-3.546219999999999928e-02	-1.746530000000000098e-04	1.184799999999999959e-03	-1.359549999999999951e-03
-1.903339999999999893e-02	6.843770000000000409e-02	-1.303679999999999943e-02	-1.184939999999999995e-03	1.017370000000000080e-03	-1.359549999999999951e-03
-4.147509999999999869e-04	1.694510000000000113e-02	-2.158149999999999999e-02	-6.468669999999999715e-04	1.017370000000000080e-03	-1.359549999999999951e-03
2.189190000000000146e-03	6.556450000000000125e-03	-1.743710000000000052e-02	-4.413040000000000018e-04	1.159950000000000087e-03	-1.359549999999999951e-03
-4.288799999999999731e-03	8.720029999999999448e-02	-7.596770000000000519e-04	-1.545790000000000011e-03	1.017370000000000080e-03	-1.303979999999999939e-03
8.137939999999999757e-03	3.833309999999999929e-03	-3.024069999999999883e-02	-1.009549999999999901e-03	1.180300000000000012e-03	-1.093709999999999908e-03
8.781529999999999198e-03	3.795349999999999852e-03	-2.191279999999999964e-02	3.239489999999999709e-05	1.304019999999999919e-03	-1.019939999999999996e-03
-4.311950000000000158e-03	7.095780000000000143e-02	-1.424680000000000000e-03	-1.058499999999999979e-03	9.177910000000000495e-04	-1.120969999999999996e-03
2.184059999999999821e-03	-4.792130000000000348e-03	-2.188589999999999980e-02	-4.183780000000000116e-04	1.017370000000000080e-03	-1.359549999999999951e-03
2.197590000000000134e-03	3.532809999999999943e-03	-2.189860000000000070e-02	-3.753820000000000052e-04	1.312580000000000040e-03	-1.359549999999999951e-03
2.184059999999999821e-03	7.117400000000000115e-02	-2.190109999999999973e-02	-1.297959999999999912e-03	1.017370000000000080e-03	-1.359549999999999951e-03
2.178049999999999951e-03	-2.616770000000000033e-03	-2.187599999999999961e-02	-2.199649999999999989e-04	8.694949999999999684e-04	-1.359549999999999951e-03
2.184059999999999821e-03	1.307930000000000030e-02	-4.405280000000000133e-03	-1.098900000000000067e-04	1.017370000000000080e-03	-1.359549999999999951e-03
-4.263160000000000213e-03	6.102780000000000010e-02	-2.189750000000000030e-02	-1.182300000000000061e-03	7.699249999999999714e-04	-1.227259999999999983e-03
2.181719999999999840e-03	-6.032199999999999715e-03	-4.520010000000000000e-02	1.069179999999999951e-04	1.017370000000000080e-03	-1.143160000000000053e-03
2.178999999999999947e-03	2.928769999999999984e-02	-4.023929999999999868e-02	6.725430000000000421e-06	9.054300000000000369e-04	-1.359549999999999951e-03
2.184059999999999821e-03	7.622790000000000121e-02	-1.551699999999999954e-02	-6.855519999999999713e-04	1.017370000000000080e-03	-1.359549999999999951e-03
7.249570000000000319e-03	-2.118389999999999856e-02	-4.235540000000000138e-02	1.583269999999999903e-04	1.255889999999999958e-03	-1.359549999999999951e-03
1.000449999999999950e-02	7.658429999999999925e-03	-3.497279999999999833e-02	5.692310000000000121e-04	1.017370000000000080e-03	-1.359549999999999951e-03
2.182460000000000216e-03	8.326949999999999630e-02	-2.621329999999999841e-02	-8.653369999999999855e-04	1.188030000000000076e-03	-1.359549999999999951e-03
