rmsd
4.094149999999999873e-02
1.209769999999999943e-02
3.209999999999999659e-02
4.545350000000000085e-02
3.193649999999999961e-02
5.980989999999999918e-02
6.301809999999999357e-02
6.504949999999999621e-02
7.477069999999999550e-02
8.862000000000000433e-02
6.991690000000000405e-02
5.931550000000000017e-02
5.738599999999999951e-02
4.022549999999999737e-02
5.020510000000000250e-02
4.762879999999999892e-02
3.861400000000000249e-02
4.737729999999999719e-02
8.055249999999999910e-02
2.942089999999999983e-02
7.768970000000000042e-02
1.022119999999999973e-01
5.651649999999999729e-02
6.625399999999999345e-02
9.029689999999999939e-02
8.914310000000000289e-02
6.269289999999999585e-02
6.103719999999999979e-02
7.590230000000000588e-02
8.205379999999999618e-02
7.032080000000000275e-02
6.093429999999999680e-02
7.367650000000000587e-02
8.022930000000000339e-02
6.763089999999999380e-02
6.787630000000000052e-02
6.244229999999999919e-02
6.152740000000000292e-02
1.539500000000000070e-02
1.784820000000000156e-02
2.476659999999999973e-02
6.750820000000000431e-02
8.600599999999999912e-02
5.150670000000000248e-02
2.958919999999999953e-02
6.500060000000000560e-02
8.379540000000000599e-02
2.438289999999999902e-02
1.056779999999999942e-01
8.941290000000000349e-02
3.542990000000000028e-02
6.396620000000000084e-02
6.244140000000000107e-02
4.991009999999999891e-02
5.898459999999999814e-02
2.352179999999999896e-02
4.735269999999999757e-02
7.571569999999999689e-02
4.408680000000000238e-02
6.855509999999999382e-02
1.007160000000000000e-01
4.078439999999999843e-02
8.624030000000000584e-02
8.841720000000000135e-02
3.561179999999999901e-02
1.149349999999999955e-01
1.000349999999999989e-01
3.655520000000000297e-02
8.998829999999999329e-02
6.207100000000000117e-02
1.645150000000000085e-02
1.011599999999999999e-01
9.580420000000000602e-02
5.333349999999999896e-02
9.455439999999999678e-02
8.684980000000000477e-02
1.728299999999999975e-02
8.286469999999999947e-02
9.136690000000000089e-02
2.462539999999999868e-02
7.300470000000000570e-02
1.003340000000000065e-01
3.821150000000000241e-02
6.626970000000000083e-02
1.117490000000000011e-01
3.831980000000000108e-02
1.065559999999999979e-01
9.514780000000000459e-02
1.674420000000000075e-02
1.074859999999999982e-01
1.207339999999999941e-01
1.974010000000000001e-02
9.723729999999999873e-02
1.021689999999999959e-01
3.845930000000000182e-02
7.183799999999999908e-02
1.105799999999999977e-01
3.311970000000000192e-02
8.710310000000000275e-02
1.100150000000000017e-01
2.743939999999999921e-02
8.230300000000000116e-02
1.180559999999999943e-01
