component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_394	0	9.2551708237	0.0001063892	0.9984866434	True
t_comp_cor_395	0	9.1640227608	0.0001043040	0.9985909474	True
t_comp_cor_396	0	9.1113861586	0.0001031092	0.9986940566	True
t_comp_cor_397	0	9.0898674626	0.0001026228	0.9987966794	True
t_comp_cor_398	0	9.0286824727	0.0001012459	0.9988979253	True
t_comp_cor_399	0	9.0064469834	0.0001007478	0.9989986731	True
t_comp_cor_400	0	8.9403145073	0.0000992737	0.9990979468	True
t_comp_cor_401	0	8.8832631914	0.0000980107	0.9991959575	True
t_comp_cor_402	0	8.8067904332	0.0000963305	0.9992922880	True
t_comp_cor_403	0	8.6891471278	0.0000937741	0.9993860621	True
t_comp_cor_404	0	8.6398319870	0.0000927127	0.9994787748	True
t_comp_cor_405	0	8.6284407039	0.0000924684	0.9995712432	True
t_comp_cor_406	0	8.5097688656	0.0000899423	0.9996611855	True
t_comp_cor_407	0	8.4286361202	0.0000882355	0.9997494210	True
t_comp_cor_408	0	8.3273093070	0.0000861267	0.9998355477	True
t_comp_cor_409	0	8.2353251200	0.0000842345	0.9999197822	True
t_comp_cor_410	0	8.0365739125	0.0000802178	1.0000000000	True
t_comp_cor_411	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_412	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_413	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_414	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_415	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_416	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_417	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_418	0	0.0000000000	0.0000000000	1.0000000000	True
t_comp_cor_419	0	0.0000000000	0.0000000000	1.0000000000	True
