component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
t_comp_cor_90	0	27.4647274844	0.0009368697	0.8845914776	True
t_comp_cor_91	0	27.3511700550	0.0009291384	0.8855206160	True
t_comp_cor_92	0	27.1771173142	0.0009173507	0.8864379667	True
t_comp_cor_93	0	27.1294774850	0.0009141374	0.8873521040	True
t_comp_cor_94	0	26.9137268296	0.0008996556	0.8882517596	True
t_comp_cor_95	0	26.7349345826	0.0008877422	0.8891395018	True
t_comp_cor_96	0	26.6747441977	0.0008837494	0.8900232512	True
t_comp_cor_97	0	26.6102163528	0.0008794789	0.8909027300	True
t_comp_cor_98	0	26.4459370085	0.0008686534	0.8917713834	True
t_comp_cor_99	0	26.2288077274	0.0008544481	0.8926258315	True
t_comp_cor_100	0	26.1517526986	0.0008494351	0.8934752666	True
t_comp_cor_101	0	26.0764072567	0.0008445476	0.8943198142	True
t_comp_cor_102	0	25.8866338342	0.0008322997	0.8951521139	True
t_comp_cor_103	0	25.7731596516	0.0008250190	0.8959771328	True
t_comp_cor_104	0	25.6791230450	0.0008190096	0.8967961424	True
t_comp_cor_105	0	25.6045462872	0.0008142594	0.8976104018	True
t_comp_cor_106	0	25.5048768417	0.0008079325	0.8984183342	True
t_comp_cor_107	0	25.4228216985	0.0008027422	0.8992210765	True
t_comp_cor_108	0	25.2110590900	0.0007894248	0.9000105013	True
t_comp_cor_109	0	25.1765056346	0.0007872624	0.9007977637	True
t_comp_cor_110	0	25.1030612311	0.0007826759	0.9015804396	True
t_comp_cor_111	0	25.0174105373	0.0007773441	0.9023577837	True
t_comp_cor_112	0	24.9487548971	0.0007730834	0.9031308671	True
t_comp_cor_113	0	24.8197362232	0.0007651083	0.9038959754	True
t_comp_cor_114	0	24.6485872490	0.0007545928	0.9046505682	True
t_comp_cor_115	0	24.4898158347	0.0007449028	0.9053954710	True
t_comp_cor_116	0	24.4068056628	0.0007398616	0.9061353326	True
t_comp_cor_117	0	24.2653503887	0.0007313104	0.9068666430	True
