Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07
0.0645152081	0.0516258108	0.0320161978	0.0082389842	-0.0166107113	-0.0392981635	-0.0568701099	-0.0670391817
0.0643302306	0.0509350499	0.0306365000	0.0061857000	-0.0191034652	-0.0418034845	-0.0588377612	-0.0678975922
0.0641416537	0.0502328899	0.0292413759	0.0041268787	-0.0215695012	-0.0442246189	-0.0606441422	-0.0685129470
0.0639494882	0.0495194879	0.0278315278	0.0020643633	-0.0240053703	-0.0465566908	-0.0622843019	-0.0688830432
0.0637537446	0.0487950036	0.0264076657	0.0000000000	-0.0264076657	-0.0487950036	-0.0637537446	-0.0690065559
0.0635544341	0.0480595993	0.0249705065	-0.0020643633	-0.0287730276	-0.0509350499	-0.0650484428	-0.0688830432
0.0633515677	0.0473134393	0.0235207740	-0.0041268787	-0.0310981478	-0.0529725197	-0.0661648477	-0.0685129470
0.0631451568	0.0465566908	0.0220591980	-0.0061857000	-0.0333797744	-0.0549033099	-0.0670998993	-0.0678975922
0.0629352129	0.0457895230	0.0205865146	-0.0082389842	-0.0356147165	-0.0567235322	-0.0678510348	-0.0670391817
0.0627217478	0.0450121077	0.0191034652	-0.0102848935	-0.0377998481	-0.0584295208	-0.0684161953	-0.0659407883
0.0625047734	0.0442246189	0.0176107967	-0.0123215963	-0.0399321132	-0.0600178402	-0.0687938318	-0.0646063440
0.0622843019	0.0434272328	0.0161092606	-0.0143472697	-0.0420085296	-0.0614852915	-0.0689829091	-0.0630406257
0.0620603456	0.0426201278	0.0145996130	-0.0163601003	-0.0440261933	-0.0628289198	-0.0689829091	-0.0612492384
0.0618329170	0.0418034845	0.0130826140	-0.0183582865	-0.0459822824	-0.0640460189	-0.0687938318	-0.0592385947
0.0616020289	0.0409774859	0.0115590276	-0.0203400394	-0.0478740611	-0.0651341378	-0.0684161953	-0.0570158922
0.0613676942	0.0401423165	0.0100296208	-0.0223035853	-0.0496988836	-0.0660910853	-0.0678510348	-0.0545890876
0.0611299259	0.0392981635	0.0084951638	-0.0242471665	-0.0514541978	-0.0669149341	-0.0670998993	-0.0519668682
0.0608887374	0.0384452157	0.0069564293	-0.0261690431	-0.0531375485	-0.0676040252	-0.0661648477	-0.0491586210
0.0606441422	0.0375836640	0.0054141920	-0.0280674949	-0.0547465817	-0.0681569707	-0.0650484428	-0.0461743986
0.0603961540	0.0367137012	0.0038692285	-0.0299408225	-0.0562790467	-0.0685726572	-0.0637537446	-0.0430248839
0.0601447866	0.0358355221	0.0023223167	-0.0317873490	-0.0577328005	-0.0688502475	-0.0622843019	-0.0397213512
0.0598900542	0.0349493230	0.0007742355	-0.0336054216	-0.0591058096	-0.0689891825	-0.0606441422	-0.0362756265
0.0596319709	0.0340553025	-0.0007742355	-0.0353934127	-0.0603961540	-0.0689891825	-0.0588377612	-0.0327000444
0.0593705511	0.0331536604	-0.0023223167	-0.0371497219	-0.0616020289	-0.0688502475	-0.0568701099	-0.0290074046
0.0591058096	0.0322445987	-0.0038692285	-0.0388727771	-0.0627217478	-0.0685726572	-0.0547465817	-0.0252109258
0.0588377612	0.0313283208	-0.0054141920	-0.0405610359	-0.0637537446	-0.0681569707	-0.0524729968	-0.0213241985
0.0585664208	0.0304050317	-0.0069564293	-0.0422129871	-0.0646965761	-0.0676040252	-0.0500555871	-0.0173611361
0.0582918036	0.0294749381	-0.0084951638	-0.0438271519	-0.0655489236	-0.0669149341	-0.0475009785	-0.0133359253
0.0580139249	0.0285382481	-0.0100296208	-0.0454020855	-0.0663095949	-0.0660910853	-0.0448161731	-0.0092629754
0.0577328005	0.0275951713	-0.0115590276	-0.0469363781	-0.0669775263	-0.0651341378	-0.0420085296	-0.0051568664
0.0574484458	0.0266459189	-0.0130826140	-0.0484286562	-0.0675517836	-0.0640460189	-0.0390857437	-0.0010322972
0.0571608769	0.0256907032	-0.0145996130	-0.0498775842	-0.0680315636	-0.0628289198	-0.0360558264	0.0030959674
0.0568701099	0.0247297380	-0.0161092606	-0.0512818650	-0.0684161953	-0.0614852915	-0.0329270827	0.0072131492
0.0565761610	0.0237632383	-0.0176107967	-0.0526402415	-0.0687051407	-0.0600178402	-0.0297080881	0.0113045099
0.0562790467	0.0227914206	-0.0191034652	-0.0539514979	-0.0688979959	-0.0584295208	-0.0264076657	0.0153554033
0.0559787836	0.0218145022	-0.0205865146	-0.0552144604	-0.0689944909	-0.0567235322	-0.0230348617	0.0193513283
0.0556753885	0.0208327018	-0.0220591980	-0.0564279985	-0.0689944909	-0.0549033099	-0.0195989208	0.0232779806
0.0553688783	0.0198462391	-0.0235207740	-0.0575910259	-0.0688979959	-0.0529725197	-0.0161092606	0.0271213038
0.0550592703	0.0188553349	-0.0249705065	-0.0587025015	-0.0687051407	-0.0509350499	-0.0125754460	0.0308675398
0.0547465817	0.0178602109	-0.0264076657	-0.0597614305	-0.0684161953	-0.0487950036	-0.0090071630	0.0345032780
0.0544308300	0.0168610899	-0.0278315278	-0.0607668648	-0.0680315636	-0.0465566908	-0.0054141920	0.0380155034
0.0541120329	0.0158581954	-0.0292413759	-0.0617179046	-0.0675517836	-0.0442246189	-0.0018063810	0.0413916431
0.0537902083	0.0148517520	-0.0306365000	-0.0626136985	-0.0669775263	-0.0418034845	0.0018063810	0.0446196115
0.0534653741	0.0138419847	-0.0320161978	-0.0634534447	-0.0663095949	-0.0392981635	0.0054141920	0.0476878533
0.0531375485	0.0128291197	-0.0333797744	-0.0642363914	-0.0655489236	-0.0367137012	0.0090071630	0.0505853850
0.0528067499	0.0118133836	-0.0347265434	-0.0649618379	-0.0646965761	-0.0340553025	0.0125754460	0.0533018341
0.0524729968	0.0107950037	-0.0360558264	-0.0656291347	-0.0637537446	-0.0313283208	0.0161092606	0.0558274765
0.0521363078	0.0097742079	-0.0373669543	-0.0662376845	-0.0627217478	-0.0285382481	0.0195989208	0.0581532710
0.0517967018	0.0087512246	-0.0386592668	-0.0667869427	-0.0616020289	-0.0256907032	0.0230348617	0.0602708918
0.0514541978	0.0077262829	-0.0399321132	-0.0672764175	-0.0603961540	-0.0227914206	0.0264076657	0.0621727586
0.0511088149	0.0066996120	-0.0411848525	-0.0677056708	-0.0591058096	-0.0198462391	0.0297080881	0.0638520630
0.0507605724	0.0056714418	-0.0424168541	-0.0680743183	-0.0577328005	-0.0168610899	0.0329270827	0.0653027935
0.0504094900	0.0046420024	-0.0436274975	-0.0683820302	-0.0562790467	-0.0138419847	0.0360558264	0.0665197571
0.0500555871	0.0036115241	-0.0448161731	-0.0686285308	-0.0547465817	-0.0107950037	0.0390857437	0.0674985971
0.0496988836	0.0025802375	-0.0459822824	-0.0688135996	-0.0531375485	-0.0077262829	0.0420085296	0.0682358097
0.0493393995	0.0015483735	-0.0471252383	-0.0689370709	-0.0514541978	-0.0046420024	0.0448161731	0.0687287558
0.0489771548	0.0005161630	-0.0482444652	-0.0689988342	-0.0496988836	-0.0015483735	0.0475009785	0.0689756708
0.0486121699	-0.0005161630	-0.0493393995	-0.0689988342	-0.0478740611	0.0015483735	0.0500555871	0.0689756708
0.0482444652	-0.0015483735	-0.0504094900	-0.0689370709	-0.0459822824	0.0046420024	0.0524729968	0.0687287558
0.0478740611	-0.0025802375	-0.0514541978	-0.0688135996	-0.0440261933	0.0077262829	0.0547465817	0.0682358097
0.0475009785	-0.0036115241	-0.0524729968	-0.0686285308	-0.0420085296	0.0107950037	0.0568701099	0.0674985971
0.0471252383	-0.0046420024	-0.0534653741	-0.0683820302	-0.0399321132	0.0138419847	0.0588377612	0.0665197571
0.0467468614	-0.0056714418	-0.0544308300	-0.0680743183	-0.0377998481	0.0168610899	0.0606441422	0.0653027935
0.0463658690	-0.0066996120	-0.0553688783	-0.0677056708	-0.0356147165	0.0198462391	0.0622843019	0.0638520630
0.0459822824	-0.0077262829	-0.0562790467	-0.0672764175	-0.0333797744	0.0227914206	0.0637537446	0.0621727586
